Using cpu device
---------------------------------
| rollout/           |          |
|    policy_gradient_loss | -0.0265     |
|    std                  | 1.01        |
|    value_loss           | 0.0721      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 68.6        |
|    ep_rew_mean          | 331         |
| time/                   |             |
|    fps                  | 1594        |
|    iterations           | 12          |
|    time_elapsed         | 493         |
|    total_timesteps      | 786432      |
| train/                  |             |
|    approx_kl            | 0.010745766 |
|    clip_fraction        | 0.229       |
|    clip_range           | 0.15        |
|    entropy_loss         | -24.3       |
|    explained_variance   | 0.936       |
|    learning_rate        | 0.0001      |
|    loss                 | -0.222      |
|    n_updates            | 165         |
|    policy_gradient_loss | -0.0253     |
|    std                  | 1.01        |
|    value_loss           | 0.0596      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 71.2        |
|    ep_rew_mean          | 342         |
| time/                   |             |
|    fps                  | 1585        |
|    iterations           | 13          |
|    time_elapsed         | 537         |
|    total_timesteps      | 851968      |
| train/                  |             |
|    approx_kl            | 0.010217378 |
|    clip_fraction        | 0.217       |
|    clip_range           | 0.15        |
|    entropy_loss         | -24.3       |
|    explained_variance   | 0.948       |
|    learning_rate        | 0.0001      |
|    loss                 | -0.221      |
|    n_updates            | 180         |
|    policy_gradient_loss | -0.024      |
|    std                  | 1.01        |
|    value_loss           | 0.0482      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 74.6        |
|    ep_rew_mean          | 356         |
| time/                   |             |
|    fps                  | 1577        |
|    iterations           | 14          |
|    time_elapsed         | 581         |
|    total_timesteps      | 917504      |
| train/                  |             |
|    approx_kl            | 0.010143878 |
|    clip_fraction        | 0.213       |
|    clip_range           | 0.15        |
|    entropy_loss         | -24.4       |
|    explained_variance   | 0.957       |
|    learning_rate        | 0.0001      |
|    loss                 | -0.241      |
|    n_updates            | 195         |
|    policy_gradient_loss | -0.0231     |
|    std                  | 1.02        |
|    value_loss           | 0.0408      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 73          |
|    ep_rew_mean          | 352         |
| time/                   |             |
|    fps                  | 1570        |
|    iterations           | 15          |
|    time_elapsed         | 625         |
|    total_timesteps      | 983040      |
| train/                  |             |
|    approx_kl            | 0.010434043 |
|    clip_fraction        | 0.213       |
|    clip_range           | 0.15        |
|    entropy_loss         | -24.4       |
|    explained_variance   | 0.961       |
|    learning_rate        | 0.0001      |
|    loss                 | -0.242      |
|    n_updates            | 210         |
|    policy_gradient_loss | -0.0234     |
|    std                  | 1.02        |
|    value_loss           | 0.036       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 74.8        |
|    ep_rew_mean          | 363         |
| time/                   |             |
|    fps                  | 1561        |
|    iterations           | 16          |
