None * 270
BufferLevel with seed=6625666410724592665, obst=0.13435068849919768, slab=0.0038358838870205638, stairs=0.048474784234869533, stump=0.012075561483706143, gap=0.012075561483706143 regret=None
BufferLevel with seed=2485177146092575031, obst=0.19317296483045712, slab=0.0490667279271233, stairs=0.08807431124491788, stump=0.02634414051893823, gap=0.02634414051893823 regret=None
BufferLevel with seed=4985467699190048681, obst=0.2684330676307966, slab=0.04195671068475518, stairs=0.030601760068867015, stump=0.012847207222686875, gap=0.012847207222686875 regret=None
BufferLevel with seed=4287871915672505841, obst=0.02116868991340366, slab=0.09879370885624794, stairs=0.0772173245891223, stump=0.05994604847794747, gap=0.05994604847794747 regret=None
BufferLevel with seed=2357779051695248942, obst=0.20924537791830863, slab=0.0979329759441925, stairs=0.050783427538537367, stump=0.061456812169005726, gap=0.061456812169005726 regret=None
BufferLevel with seed=3969972586000806592, obst=0.02649590836584752, slab=0.09326144672410532, stairs=0.01789150605655272, stump=0.009660587267326227, gap=0.009660587267326227 regret=None
BufferLevel with seed=8046811034820431575, obst=0.08425369614563344, slab=0.007473960495895927, stairs=0.022056335996139344, stump=0.04624745919147404, gap=0.04624745919147404 regret=None
BufferLevel with seed=3687372944380694352, obst=0.02229737980032558, slab=0.002812454483431282, stairs=0.06574039866607721, stump=0.040376575498065975, gap=0.040376575498065975 regret=None
BufferLevel with seed=3348141061834013588, obst=0.002635664875674093, slab=0.07120320497469161, stairs=0.018043399353145372, stump=0.010043006353224915, gap=0.010043006353224915 regret=None
BufferLevel with seed=5552203942968475388, obst=0.13289727031146611, slab=0.012219051431975603, stairs=0.09769060217323255, stump=0.07740610929096975, gap=0.07740610929096975 regret=0.06327855587005615
BufferLevel with seed=8052917610408060239, obst=0.05439452095067763, slab=0.058110639657382515, stairs=0.08144563610831669, stump=0.010179142289096077, gap=0.010179142289096077 regret=None
BufferLevel with seed=1540910256611253575, obst=0.05951733353647189, slab=0.02611135090169471, stairs=0.03171613371872902, stump=0.039611859313235735, gap=0.039611859313235735 regret=None
BufferLevel with seed=213420439432451184, obst=0.19020320859675954, slab=0.060432275761539034, stairs=0.0005543653742208998, stump=0.019449473524308494, gap=0.019449473524308494 regret=None
